object_id,name,category,train_freq,rot_sym,rot_naive,trans_cm,size_rel
2168,hand_cream_012,hand_cream,39,41.6012,41.6012,2.5725,0.0607
4359,sushi_011,sushi,103,54.0074,54.0074,3.7705,0.0410
5352,zongzi_005,zongzi,53,5.2810,5.2810,1.9221,0.0292
3512,plant_013,plant,57,87.5785,91.2682,2.3911,0.0408
4352,sushi_004,sushi,90,124.7433,124.7433,16.5787,0.0523
1527,doll_060,doll,75,50.3445,50.3445,6.0435,0.0285
2177,hand_cream_022,hand_cream,88,7.3056,174.0917,1.7172,0.0220
3768,razor_004,razor,67,172.0311,172.0311,3.2534,0.1103
458,box_075,box,101,39.2651,147.0269,5.4779,0.0234
1947,glasses_case_001,glasses_case,105,177.3080,177.3080,5.4455,0.0273
1808,eraser_029,eraser,53,74.9632,145.7826,11.2501,0.1371
4539,thermos_004,thermos,82,24.2314,24.2314,1.7991,0.0141
2211,handbag_039,handbag,85,40.1248,40.1248,22.0346,0.0307
5191,wallet_045,wallet,109,178.6206,178.6206,2.4212,0.0211
3488,pizza_020,pizza,56,11.3710,20.1406,6.8140,0.0280
1431,dinosaur_014,dinosaur,74,11.5397,11.5397,2.3092,0.0419
2614,litchi_025,litchi,25,61.9806,88.8513,43.3752,0.2162
2668,lotus_root_012,lotus_root,66,28.5655,126.4663,30.2955,0.0569
1912,garlic_002,garlic,57,57.6766,57.6766,15.7294,0.0348
2566,light_024,light,97,102.5259,102.5259,7.0674,0.0679
1204,clock_024,clock,73,140.1419,140.1419,11.7295,0.0395
3540,pomegranate_025,pomegranate,57,22.1198,73.7179,4.3250,0.0107
343,book_022,book,71,10.8038,174.0753,3.8682,0.0250
1220,clock_040,clock,120,7.3489,7.3489,8.0769,0.0252
3086,oyster_023,oyster,101,175.5282,175.5282,6.7082,0.0309
1363,cup_001,cup,60,174.2893,174.2893,13.0322,0.0352
225,banana_043,banana,69,6.6193,6.6193,0.5996,0.0211
3506,plant_006,plant,106,14.9808,15.2578,7.8360,0.0466
1346,cucumber_017,cucumber,65,2.5162,2.5162,4.0191,0.0183
2470,kiwifruit_002,kiwifruit,63,172.9408,173.8195,3.4706,0.0305
44,apple_007,apple,95,16.4801,124.5559,5.8790,0.0204
1427,dinosaur_010,dinosaur,107,29.0979,29.0979,38.6636,0.0373
4699,tooth_paste_013,tooth_paste,96,3.6105,178.0488,5.8326,0.0393
451,box_068,box,110,97.1910,179.6608,16.5863,0.0278
4835,toy_bus_007,toy_bus,76,159.3034,159.3034,12.3440,0.0438
1363,cup_001,cup,60,11.6314,11.6314,17.8206,0.0615
1469,doll_001,doll,94,7.2727,7.2727,7.7913,0.0258
4303,stool_003,stool,110,164.1456,164.1456,0.8819,0.0360
1947,glasses_case_001,glasses_case,105,170.3648,170.3648,10.6196,0.0622
4835,toy_bus_007,toy_bus,76,7.0306,7.0306,2.9069,0.0295
4702,tooth_paste_016,tooth_paste,109,10.7220,175.3975,24.7711,0.0480
4241,squash_032,squash,87,27.6472,60.0699,7.3830,0.0209
1192,clock_011,clock,90,170.5364,170.5364,5.7971,0.0436
2177,hand_cream_022,hand_cream,88,29.0912,159.4623,9.9569,0.0400
718,brussels_sprout_004,brussels_sprout,45,93.5065,158.4585,6.7905,0.1322
4670,tooth_brush_011,tooth_brush,85,22.8255,22.8255,5.3033,0.0775
2881,mooncake_018,mooncake,56,68.1844,140.0302,6.1063,0.0305
616,bread_180,bread,85,118.3588,142.5600,8.7559,0.1010
752,bucket_noodle_022,bucket_noodle,76,4.3092,101.7541,2.3078,0.0118
3188,peach_005,peach,81,97.5375,100.9039,8.0062,0.0196
823,burrito_017,burrito,84,6.1576,8.3448,5.5855,0.0234
2060,hairpin_023,hairpin,39,48.0054,48.0054,39.9250,0.7392
2037,hair_dryer_037,hair_dryer,73,5.4455,5.4455,1.9399,0.0145
1739,egg_036,egg,49,114.2664,136.3459,5.8643,0.0377
4034,shampoo_030,shampoo,85,30.1320,174.0018,8.4078,0.0302
2177,hand_cream_022,hand_cream,88,20.8074,164.4155,9.1042,0.0357
3866,ricecooker_003,ricecooker,97,66.8674,66.8674,4.8494,0.0234
1542,doll_075,doll,50,170.3261,170.3262,3.4210,0.0414
5191,wallet_045,wallet,109,21.9628,21.9628,0.3997,0.0190
3051,orange_036,orange,59,27.3327,92.7153,3.3217,0.0105
1192,clock_011,clock,90,96.8225,96.8225,2.7911,0.0433
1049,cherry_007,cherry,49,17.3059,17.3059,12.9360,0.0406
5082,umbrella_002,umbrella,116,159.2231,166.6972,33.5267,0.0971
4074,shoe_015,shoe,101,62.2479,62.2479,6.2167,0.0304
423,box_040,box,89,63.9647,63.9647,12.6669,0.0854
1367,cup_005,cup,54,34.8355,34.8355,6.6251,0.0382
4074,shoe_015,shoe,101,134.7171,134.7171,43.0927,0.0230
1929,ginger_007,ginger,68,174.8494,174.8495,18.4638,0.0213
1220,clock_040,clock,120,5.1132,5.1132,4.3704,0.0407
3412,pinecone_013,pinecone,64,55.7772,160.9196,37.7061,0.0146
4409,sweet_potato_019,sweet_potato,79,145.2361,169.5073,13.2118,0.0124
1929,ginger_007,ginger,68,169.5695,169.5695,10.4341,0.0180
1873,flower_pot_007,flower_pot,91,97.8404,97.8404,6.6227,0.0209
540,bread_090,bread,78,165.4548,177.7390,10.1512,0.0199
817,burrito_011,burrito,90,9.8022,174.0224,9.1274,0.0353
3059,ornaments_001,ornaments,101,11.8022,11.8022,3.7994,0.0118
2309,helmet_007,helmet,68,165.2579,165.2579,4.8576,0.0069
4449,table_tennis_bat_003,table_tennis_bat,78,28.9083,28.9083,7.8943,0.0971
269,biscuit_010,biscuit,56,177.4474,177.4474,2.8705,0.0471
4799,toy_boat_025,toy_boat,57,31.4399,31.4399,7.9813,0.0526
39,apple_001,apple,56,90.6851,151.9142,12.5966,0.0134
2177,hand_cream_022,hand_cream,88,8.2898,173.9022,2.4553,0.0173
1929,ginger_007,ginger,68,170.2241,170.2241,10.0111,0.0295
4431,table_013,table,93,157.8977,157.8977,31.5594,0.0634
3036,orange_021,orange,121,33.9483,35.5474,7.4613,0.0171
1979,gloves_013,gloves,70,4.0244,4.0244,1.3246,0.0424
838,cake_008,cake,58,16.0953,16.0953,9.8172,0.1023
1587,drawing_002,drawing,152,65.8708,65.8708,11.8061,0.0327
3564,pomegranate_049,pomegranate,96,17.1145,18.1243,3.7637,0.0312
4702,tooth_paste_016,tooth_paste,109,3.5800,178.8823,17.1559,0.0394
453,box_070,box,73,16.9103,163.9784,21.9421,0.0346
4773,toy_animals_057,toy_animals,52,119.2710,119.2710,36.0709,0.1735
2852,microwaveoven_003,microwaveoven,81,143.6915,143.6915,16.9739,0.0183
345,book_025,book,95,83.0218,179.1278,39.3787,0.0462
1661,durian_006,durian,78,19.5715,19.5715,9.7120,0.0278
1868,flower_pot_002,flower_pot,119,94.0879,94.0879,15.2340,0.0600
2175,hand_cream_020,hand_cream,78,17.3470,170.8283,30.7951,0.0144
4056,shaomai_015,shaomai,27,77.9243,161.3250,9.3519,0.0387
2776,mangosteen_018,mangosteen,62,10.8821,27.4401,2.4656,0.0138
5352,zongzi_005,zongzi,53,35.5138,35.5138,0.9409,0.0502
350,bottle_032,bottle,73,4.2797,124.2165,9.8622,0.0389
3488,pizza_020,pizza,56,169.7607,174.1719,2.2725,0.0349
610,bread_174,bread,87,5.4060,179.5643,1.3715,0.0333
4489,tape_measure_024,tape_measure,79,50.0704,165.0946,9.1023,0.1396
742,bucket_noodle_011,bucket_noodle,113,2.9490,63.7544,1.9096,0.0356
2211,handbag_039,handbag,85,28.2087,156.0206,13.8613,0.0481
3657,potato_chips_006,potato_chips,37,64.2995,64.2995,14.0354,0.0931
4506,teapot_016,teapot,108,49.4094,49.4094,7.8760,0.0302
2037,hair_dryer_037,hair_dryer,73,160.4860,160.4860,14.9579,0.0541
4240,squash_031,squash,83,127.5424,164.1127,39.8709,0.0194
2247,hat_022,hat,57,153.1399,153.1399,11.8830,0.1143
756,bucket_noodle_026,bucket_noodle,63,73.6587,94.3462,5.1775,0.0742
973,cauliflower_002,cauliflower,91,13.7667,29.5818,7.6261,0.0293
5332,yam_020,yam,96,8.5634,133.1950,6.7167,0.0262
3564,pomegranate_049,pomegranate,96,158.5076,167.3587,6.1060,0.0129
5299,whistle_011,whistle,51,5.8170,5.8170,1.1975,0.0451
933,canned_beverage_001,canned_beverage,98,2.4471,52.8781,0.7509,0.0187
4489,tape_measure_024,tape_measure,79,16.7895,173.6470,0.3311,0.0163
431,box_048,box,61,21.6193,179.5066,2.7690,0.0290
1346,cucumber_017,cucumber,65,3.8076,71.4810,3.6780,0.0174
1504,doll_037,doll,72,177.4032,177.4032,4.5754,0.0125
5191,wallet_045,wallet,109,178.1066,178.1065,2.6380,0.0778
4489,tape_measure_024,tape_measure,79,56.3251,56.3251,42.9326,0.0553
767,bumbag_007,bumbag,104,109.0108,175.9428,6.9670,0.0272
3080,oyster_017,oyster,64,66.3990,66.3990,2.2138,0.0192
3622,potato_014,potato,46,135.5846,135.5846,5.5677,0.0461
4702,tooth_paste_016,tooth_paste,109,5.9784,5.9784,38.9706,0.0385
2881,mooncake_018,mooncake,56,11.9722,133.7426,2.7191,0.0342
2668,lotus_root_012,lotus_root,66,3.2136,13.9272,2.7558,0.0189
4345,suitcase_006,suitcase,104,119.1854,147.7997,7.5449,0.0432
4303,stool_003,stool,110,63.0315,63.0315,4.4557,0.0339
1176,chocolates_012,chocolates,43,172.2880,172.2880,24.1611,0.1041
4036,shampoo_032,shampoo,95,9.7113,9.7113,5.4285,0.0261
4701,tooth_paste_015,tooth_paste,84,13.4271,178.1965,8.8622,0.0285
3051,orange_036,orange,59,102.7560,133.6254,12.3978,0.0493
946,carrot_012,carrot,110,21.4912,65.6688,21.2702,0.0427
4362,sushi_014,sushi,61,128.0665,128.0665,8.8634,0.0301
767,bumbag_007,bumbag,104,15.6825,178.6200,8.8700,0.0881
3051,orange_036,orange,59,14.0051,83.3977,2.0017,0.0389
3650,potato_043,potato,75,19.5121,19.5121,0.7579,0.0143
2852,microwaveoven_003,microwaveoven,81,50.7364,50.7364,13.1146,0.0354
465,boxed_beverage_002,boxed_beverage,86,152.8303,174.1302,4.2799,0.0381
1431,dinosaur_014,dinosaur,74,178.2322,178.2322,6.6255,0.0191
2863,monitor_004,monitor,86,61.2368,61.2368,1.4192,0.0159
5238,watch_011,watch,49,175.3107,175.3107,5.7332,0.0298
3059,ornaments_001,ornaments,101,7.1390,7.1389,2.7781,0.0461
2566,light_024,light,97,172.4947,172.4947,6.8107,0.1396
1330,corn_032,corn,84,3.0272,54.5304,4.5649,0.0133
418,box_035,box,93,58.2899,137.2930,11.0466,0.0561
3622,potato_014,potato,46,108.6298,108.6298,2.0538,0.0222
4799,toy_boat_025,toy_boat,57,7.7724,7.7724,13.6962,0.0819
3760,pumpkin_035,pumpkin,82,19.6041,21.4603,6.4453,0.0373
1831,fan_005,fan,64,173.9899,173.9899,10.7841,0.0495
